Code,Name,Symbol,QUDT
yd,yard,NULL,YD
yd²,square yard,NULL,YD2
yd³,cubic yard,NULL,YD3
YER,yemeni rial,NULL,YemeniRial
yr,year,NULL,YR
ZAR,rand,NULL,SouthAfricanRand
ZMW,zambian kwacha,ZK,ZambianKwacha
ZWL,zimbabwe dollar,NULL,ZimbabweDollar
Δ°C,celsius degrees,NULL,DEG_C
Δ°F,fahrenheit degrees,NULL,DEG_F
ΔK,kelvin degrees,NULL,K
μT,micro tesla,NULL,MicroT
